Angular_Width,27.0,36.0,31.0,29.0,35.0,39.0,42.0,47.0,35.0,39.0,30.0,34.0,47.0,32.0,38.0,36.0,41.0,37.0,34.0,50.0,20.0,32.0,28.0,59.0,40.0,45.0,39.0,23.0,23.0,39.0,38.0,35.0
Velocity,1700.0,1323.0,1334.0,602.0,815.0,1081.0,950.0,1450.0,900.0,870.0,1638.0,1200.0,1020.0,830.0,1225.0,680.0,648.0,400.0,1040.0,974.0,341.0,850.0,538.0,1500.0,944.0,1150.0,930.0,685.0,460.0,670.0,680.0,640.0
Observed,395.0,846.0,558.0,501.0,501.0,711.0,502.0,563.0,374.0,429.0,423.0,419.0,620.0,487.0,483.0,373.0,568.0,352.0,532.0,530.0,564.0,451.0,401.0,483.0,462.0,438.0,461.0,376.0,376.0,383.0,423.0,491.0
Spheroidal,,703.6293363173746,,,479.2555546790774,560.3114837379088,699.6745167218895,673.5729774381903,,544.1182207203426,,,566.8862390052129,635.2276981135135,540.0636336909222,,,484.0021478628717,,661.6469133708222,579.5200671817329,,634.0298152974135,550.248567028749,539.8363315842457,,,,,579.9695582592949,584.3416720703905,676.0754559591087
tt_1.0h,,626.7335290925848,,,488.8339645989172,568.7644819615376,614.0375564701707,551.0785875405094,,468.26512603114435,,,522.6311377293605,553.2293520594594,485.87949766853137,,,481.9874794225359,,522.9095606005768,578.0434194313689,,634.0298152974135,493.012916870815,461.64062062994395,,,,,432.01463434013044,534.8163860029649,593.061666072667
tt_1.1h,,635.3715707987974,,,488.8444415214173,568.7657230090169,614.9423685527348,548.5081762159061,,470.0246405180549,,,522.6311377293605,556.2268128645313,485.8213277567125,,,481.9875423994597,,526.4613466476422,578.0434194301721,,634.0298152974135,497.20641050732223,461.6523592851839,,,,,434.661814924559,535.1504909048301,594.0932018602019
tt_1.2h,,635.3715707987974,,,488.8458943204518,568.7668516037752,615.9334321840499,543.0522372083735,,471.84885799025346,,,523.6476667063505,556.1040289643954,485.8213277567125,,,481.9876053908242,,530.0381791261509,578.0434194301721,,634.0298152974135,500.7892605806592,457.47059550896716,,,,,437.1763434652201,535.1504909048301,595.1627885731642
tt_1.3h,,643.0467584393493,,,488.8458943204518,568.7668516037752,616.8653968791613,540.211473996707,,471.932974774539,,,523.7267933314239,559.4008642459327,484.8753741391612,,,481.9876683667464,,530.061771036965,578.0434194296473,,634.0298152974135,501.02088330154675,453.37470819717845,,,,,439.49986533303735,535.4875516361183,596.2577513927706
tt_1.4h,,641.8671088977244,,,488.85530485412926,568.7679118894113,617.7973195563881,534.2878623267482,,473.7905819483333,,,523.7267933314239,562.2513125732316,492.9769970336073,,,481.9877312928907,,533.5453327699768,578.0434194280814,,634.0298152974135,504.07198432396206,451.3970320566501,,,,,441.60620669526554,535.8233416054294,597.3748755083362
tt_1.5h,,641.8671088977244,,,488.857014626826,568.7689125712669,618.7712099561389,531.2890688983595,,473.7905819483333,,,523.8066413360336,562.2513125732316,492.9769970336073,,,481.9877941301707,,533.5453327699768,578.0434194269435,,634.0298152974135,504.07198432396206,447.5195713587894,,,,,443.4535832542447,536.1339450289211,598.5154187963061
