Time_21.5,OMNI_fcst,OMNI_recon,MAS,WSA
11/02/2023 11:12,62.83605821468831,19.70259731219218,113.18140562294357,134.90595522616258
24/02/2023 20:36,99.30770647355892,20.144411324390234,118.40624200850172,97.86420150951936
13/03/2023 10:53,96.53561109358968,20.901072951227523,90.05720377618674,103.48540337891978
20/03/2023 02:41,91.13227686233732,19.552082461531672,83.69998755569652,143.85630535004705
20/03/2023 14:42,89.92469996451914,19.748690229798974,83.49179979530756,145.74208532797218
21/04/2023 18:12,66.20954679247124,16.360929481187497,112.36531908740004,86.05040298104397
05/05/2023 08:12,58.58250169,21.379783983846437,91.25640059906776,83.47466959264335
09/05/2023 19:00,62.87208474986774,19.497209507644577,73.89697432,106.81028434615433
10/07/2023 04:00,78.91495272648716,13.893971063564985,47.10094064282887,103.14373691862843
11/07/2023 19:24,77.38446729310343,14.487740138106188,50.966259777995084,82.78865463111127
17/07/2023 23:36,77.75640691831767,18.246594020573443,73.40273874302736,99.14564650561533
18/07/2023 20:12,82.81649460469039,17.614867177088016,71.12402785772217,100.9562382291912
05/08/2023 07:12,72.52200280397673,17.88566118589745,80.05052787,88.71043059056801
14/09/2023 07:24,37.29637041046992,15.186266026996828,48.584640829262995,169.53210760957444
22/09/2023 02:24,68.61045350390212,15.649010533855368,67.92744497,157.8531047040325
16/10/2023 12:09,72.15748750509036,17.681209589591113,87.59959279,102.98117056059067
02/11/2023 03:36,96.99666592,19.49791975167075,90.92305466586815,116.27462568525813
16/11/2023 03:48,53.51472355701625,17.733566209496363,79.26129962757422,141.57382051902783
27/11/2023 23:48,57.54035435951091,17.716714137644935,91.45515907269254,149.12676570889678
14/12/2023 17:38,82.97643980526188,18.953684395715804,110.50612511816163,199.55013030077083
16/12/2023 01:48,84.01981494317991,18.572678732820815,112.98303592755143,188.97849893559265
24/12/2023 13:25,83.71629853663393,20.02910607606034,42.310148050439494,166.1000746
25/12/2023 09:38,86.52784619121653,19.983230540902493,40.8512165,160.29944601046878
31/12/2023 22:00,73.08149701232956,17.728676804386566,35.13723057601363,168.53465256717658
20/01/2024 09:24,37.07360901865319,14.596257001574333,83.38043894444675,108.28413697729931
10/02/2024 07:00,56.28607518951605,15.365092484268523,58.00538201728417,144.1558104968802
17/03/2024 03:12,40.37455039844404,14.721591519704951,71.07755377780927,107.3225042995587
17/03/2024 03:36,40.400866255394995,14.74089202411922,71.08518313257736,107.25119037819691
12/04/2024 02:00,39.01618369054354,14.035941983891055,46.74481701115486,74.27197777492637
14/04/2024 11:12,42.67927531937714,14.69417863564589,50.93674560188141,72.34108747
15/04/2024 06:48,45.73419930345119,15.366451474890303,52.936403225371855,152.4559883036969
